original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source,verified,verification_status,notes
3803,বাংলাদেশের দুইটা নাস্তিক চ্যানেল আছে,Abusive,Organization,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
21655,ব্রাজিল খেলা থেকে নাছ নিয়ে বেশি ব্যাস্ত থাকে এই দলের আরো অধনপতন হবে,,,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based,False,pending,
31466,যত কয় তত নয়,,,Little to None,"এই মন্তব্যে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই, তাই এটি স্বাভাবিক মন্তব্য হিসেবে শ্রেণিবদ্ধ।",rule-based,False,pending,
28108,খানকির পোলারা খবর দেখাবি না বিজ্ঞাপন,Abusive,,Little to None,"এই বক্তব্যে প্রতি ""খানকি"" এর মতো অশ্লীল শব্দচয়ন এটিকে মৃদু বা গৌণ মাত্রার কুরুচিপূর্ণ মন্তব্য হিসেবে চিহ্নিত করে।",rule-contextual,False,pending,
1942,চোরদে সময় সংবাদরাচুরি করে দাদাবাড়ি পাচার করেঅচিরেই স্বর্ণচোর দের আইনের আওতায় আনা হবে,Abusive,Community,Severe,"মন্তব্যটিতে ""চোর"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে নির্দিষ্ট সম্প্রদায় বা গোষ্ঠীকে লক্ষ্য করা হয়েছে। এটি তীব্র ও গুরুতর মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual,False,pending,
13507,সময় চ্যানেল মিথ্যা খবর রটাতে ওস্তাদ,Abusive,Organization,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
33984,আমি ওনার অভিনয় দেখি ভালো ও লাগে অনেক,,,Little to None,এটি একটি নিরপেক্ষ মন্তব্য যেখানে কাউকে লক্ষ্য করে কোনো অবমাননাকর বা বৈষম্যমূলক ভাষা ব্যবহার করা হয়নি।,rule-based,False,pending,
28363,এটি বলার জন্য ভাই তোমাকে কত টাকা দেওয়া হয়েছে,,,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based,False,pending,
21313,হাসিনা দেশ থেকে পালা,Abusive,Individual,Mild,"নির্দিষ্ট ব্যক্তিকে উদ্দেশ্যে ""হাসিনা"", ""থেকে"" এর মতো অবমাননাকর শব্দ ব্যবহার এই মন্তব্যকে মাঝারি মাত্রার গালিগালাজ হিসেবে চিহ্নিত করে।",rule-contextual,False,pending,
2460,পরিচালক সাহেবের সাথে ঘুমানো শেষে জেগে উঠে জামাই খুঁজছেন শিহাব শাহিন সাহেবের সাথে লিভ টুগেদার শেষ সালমান মুকতাদির এর সাথে জেসিয়ার সাথে লিভ টুগেদার শেষ,Gender Hate,Individual,Mild,এই বক্তব্যে লিঙ্গ বৈষম্যমূলক ভাষা ব্যবহার করে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার যৌনতাবাদী মনোভাব প্রকাশ করা হয়েছে।,rule-contextual,False,pending,
14771,একজন চৌকিদারের মিছিলও তো এর থেকে অনেক বেশি লোক হয়,Political Hate,Organization,Mild,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মাঝারি মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual,False,pending,
31270,সময় সংবাদকে বলব চোখ কান খোলা রেখে নিউজ করার জন্য বরগুনার জায়গায় বগুড়া দিছেন কেন আমাদের বগুড়া জেলার মান সম্মান নষ্ট করতেছেন কেন ভালো করে আগে আবার স্কুলে যান নতুন করে আবার প্রাইমারি থেকে শুরু করে লেখাপড়া করে আসেন তার পর সাংবাদিকতা করতে আসেন সাংবাদিকতা করতে আসছেন নাকি আপনারা ফাজলামি করার জন্য আসছেন,Abusive,Organization,Little to None,"এই মন্তব্যে ""নষ্ট"" শব্দ ব্যবহার করে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে অবমাননা করা হয়েছে, যা মৃদু বা গৌণ মাত্রার আক্রমণাত্মক ভাষা নির্দেশ করে।",rule-contextual,False,pending,
19816,তোমার জাংগিয়া সামলানোর সুযোগ পাবে না,Abusive,Individual,Mild,এই বক্তব্যে ব্যবহৃত ভাষা ও দৃষ্টিভঙ্গি একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক মন্তব্য প্রকাশ করে।,rule-contextual,False,pending,
15012,দল থেকে নৌকার সাথে প্রতিদ্বন্দ্বিক করার জন্য যাকে দিবেন তাকে কুরবানী দেওয়া শামিল হবে আবার ভাইবেন না এই কুরবানী সেই কুরবানী না,,,Little to None,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based,False,pending,
14967,এগুলা সম্পন্ন সরকারের সফলতামানুষ পানিতে ডুবি থাকা সরকারের ব্যর্থতাআর সরকারের মন্ত্রীরা শুধু টাকা নিয়ে লুটপাট করেযে জায়গা দিয়ে পানি আসে সেই জায়গাটা আসলে ব্লক করার প্রয়োজনসরকারের সেই জায়গাতে কিন্তু মাথা একটাবার দেয় নাসরকার শুধু যেখানে রাজনীতি কেডা কোনায় আছে হেদেরকে খালি দূরে দূরেদেশে সাধারণ পাবলিকের চিন্তা যদি করত তাইলে আজকাল মানুষ এমনভাবে পানির নিচে দুধ ডুবিয়ে থাকত নানিত্য পুণ্যের দামও এমন হতো নাদোয়া করি সরকারের ঊর্ধ্বতন কর্মকর্তাকে এই মেসেজটি গ্রহণ হবেসাধারণ পাবলিক এখন পানির নিচে তুলে আছে আপনারা সবাই তাদের একটু নজর করেনআল্লাহর এই খোদারিদের সময়মানুষ এখনই পানিতে দুর্ভোগপ্রত্যেকটা বছর বছর সিলেটে শুধু সমস্যা হয় পানিতেআমরা সব সময় ইন্ডিয়ার সাথে চুক্তি করে সবকিছু চুক্তি করে কিন্তু এখানে নিয়ে চুক্তি হয় নাযখন আমাদের পানির প্রয়োজন হয় তখন আর তারা আমাদেরকে কোন পানি দেয় নাযখন আমাদের পানির প্রয়োজন না হয় তখন তারা আমাদেরকে পানি দিয়া একবারে সব ডুবাইয়া দেয়আমাদের সীমান্ততে আমরা একটা বান্দিমনে হয় এটাই ভালো হবেযে সীমান্ত আছে ওইখানে বিশাল করে একটা বান দিলে ইন্ডিয়ার মতো ইন্ডিয়া পানি কোন দিকে না আমরা কোন দিকে নিতে পারিযদি আমরা তাদের সাথে এই পানি নিয়ে চুক্তি না করতে পারি তাহলে আমরা এখানে কথা বলার প্রয়োজন নেই বছর বছরশুধু ইন্ডিয়া সবকিছু দিয়ে দেয় সবকিছু দিয়ে দেয় এখন একবারে ফানি দিয়ে মানুষ ডুবাইয়া দিছেএখন না আমি অনেক আগ থেকে সবসময় দেখতেছি ইন্ডিয়া থেকে পানি ঢুকে বাংলা প্রশ্ন হয়ে যায়সেই ক্ষতি শুধু সাধারণ পাবলিক হয়ে থাকে আর সরকারেরসরকার কখনো হবে নাসরকার শুধু কখন কোনানো বিরোধী দল কি করে ওইগুলো থেকে নজরকখন খালি সরকার গঠন করবে ওটার দিকে নজরমানুষের দুর্ভোগের দিকে নজর হয় নাকোথায় তারা এখন আইনশৃঙ্খলা বাহিনী কোথায় তার এখন মানুষ জনবলমানুষ তো পানির নিচে ডুবে যাইতেছেআল্লাহ সবকিছুকে হেদায়েত হেফাজত করুক মানুষকেআল্লাহর কাছে দোয়া করি অতি শিগগিরই পানি নামে যাবে,Political Hate,Organization,Mild,"এই মন্তব্যে ""সরকার"", ""বিরোধী"", ""মন্ত্রী"" সম্পর্কিত রাজনৈতিক ঘৃণা প্রকাশ পেয়েছে যেখানে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে আক্রমণের লক্ষ্যবস্তু। তীব্রতা মাঝারি মাত্রার।",rule-contextual,False,pending,
30790,নিজের পরিবারে ভোট টাও পাবেনা আবার কেমেরার সামনে বয়ান দিতে ছে,Political Hate,Individual,Severe,"নির্দিষ্ট ব্যক্তিকে বিরুদ্ধে ""ভোট"" এর মতো রাজনৈতিক বিদ্বেষমূলক শব্দ ব্যবহার করা হয়েছে। এটি তীব্র ও গুরুতর মাত্রার রাজনৈতিক ঘৃণা প্রকাশ করে।",rule-contextual,False,pending,
15421,এরা নাকি চীনের সাথে যুদ্ধ করবে নিজেরা নিজেরা টক্কর খাইয়া ফাইলট মরে চীন যদি এই খবর শুনে ইন্ডিয়ার অর্ধেকটা চীন দখল করবে বাকি অর্ধেক টুকু পাকিস্তান বাংলাদেশ কে বলবে তোরা নিয়ে নে,Political Hate,Organization,Severe,রাজনৈতিক বিষয়ে একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে তীব্র ও গুরুতর মাত্রার বিদ্বেষপূর্ণ মনোভাব এই মন্তব্যে স্পষ্ট।,rule-contextual,False,pending,
34350,অশ্লীলতা ছড়িয়ে আবার গর্ব করে বলে বিয়ে ছাড়াই একসাথে থাকতাম কত বড় নির্লজ্জ হলে এমন ভাবে বলতে পারে,Abusive,Individual,Mild,এই বক্তব্যে ব্যবহৃত ভাষা ও দৃষ্টিভঙ্গি একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক মন্তব্য প্রকাশ করে।,rule-contextual,False,pending,
2562,মাশাল্লাহ সুবহানাল্লাহ উত্তর কোরিয়ার প্রেসিডেন্ট কিম জং তুমিতো গর্বিত মায়ের গর্বিত সন্তান তুমি আমেরিকার মতো জঙ্গিবাদ রাষ্ট্রকে তক্কা না করে যেভাবে এগিয়ে যাচ্ছ তোমার জয় হবে ইনশাআল্লাহ আমেরিকার মতো সন্ত্রাসী রাষ্ট্রগুলো ইসরাইলের মতো সন্ত্রাসী রাষ্ট্রকে সমর্থক দিয়ে আছে এবং প্রকাশ্যে তাদেরকে সাপোর্ট করছে মুসলমানদেরকে হত্যা করার জন্য বিশ্বের মধ্যে মুসলমান কান্ট্রি প্রেসিডেন্ট গুলা হিজড়া হিজড়া হয়ে গেছে কাপুরুষের বাচ্চা হয়ে গেছে আর পৃথিবীর মধ্যে ছোট্ট একটা রাষ্ট্র উত্তর কোরিয়ার প্রেসিডেন্ট কিম জং আমেরিকার মতো সন্ত্রাসী রাষ্ট্রকে তোয়াক্কা না করে নিজের মতো দেশকে গঠন করছে এই বিশ্বের মুসলমান কান্ট্রির প্রধানমন্ত্রী গুলা তোমরা হিজড়া হয়ে যাও তোমরা দেখো পৃথিবীর মানচিত্রের মত একটা ছোট্ট একটা রাষ্ট্রের উত্তর কোরিয়া একেবারে আমেরিকার মতো ইসরাইলের মত সন্ত্রাসী রাষ্ট্রকে বুড়ো আঙ্গুল দেখিয়ে কিভাবে নিজের রাষ্ট্রকে এগিয়ে যাচ্ছে নিজের দেশকে আত্মরক্ষা করার জন্য এবং নিজের দেশের জনগণকে রক্ষা করার জন্য আর বর্তমানে আমাদের বিশ্বের মুসলমান কান্ট্রির প্রধানমন্ত্রী গুলা হিজড়া হয়ে ঘরে চুরি পরে বসে আছে কারণ তারা আমেরিকার পাছাটা গোলাম হয়ে গেছে বিশ্বের মুসলমানকান্ট্রির প্রধানমন্ত্রী গুলা আমেরিকার এবং ইহুদি নাস্তিকের গোলাম হয়ে আছে তারা চাইতো আমেরিকা চাই সারা বিশ্বের মুসলমান কান্ট্রি গুলো যেন আমেরিকার গোলাম হয়ে থাকে এই কারণে মুসলমান কান্ট্রি গুলোকে সামনে এগিয়ে যেতে দিচ্ছে না আমেরিকার মত একটা তোমাদের কাছে হায় হাতে পায়ে ধরে বলছি তোমরা ইরানের সাথে হাত মিলিয়ে সারা বিশ্বের মুসলমান কান্ট্রি গুলো ঐক্যবদ্ধ আমেরিকার মতো সন্ত্রাসী রাষ্ট্রকে দমন করো ইসরাইলের মত সন্ত্রাসী রাষ্ট্রকে যারা কিনা নিরীহ ফিলিস্তিনি মুসলমানদেরকে হত্যা করছে আমেরিকার মতো ইহুদি নাস্তিকের বাচ্চারা এবং ইসরাইলের মত সন্ত্রাসী,Political Hate,Individual,Severe,"মন্তব্যটিতে ""মুসলমান"" এর মতো রাজনৈতিক ঘৃণামূলক ভাষা ব্যবহার করা হয়েছে। এটি একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে তীব্র ও গুরুতর মাত্রার বক্তব্য।",rule-contextual,False,pending,
12038,ভাই আপনারা পোল্টি শিল্প নিয়ে আরো প্রতিবেদন তৈরি করেন খামারীদেরকে বাঁচান,,,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based,False,pending,
14644,আলহামদুলিল্লাহ আল্লাহ বিএনপি র উপর মুখ করেছে,Political Hate,Organization,Little to None,"রাজনৈতিক প্রেক্ষাপটে ""বিএনপি"" ব্যবহার করে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে প্রতি বিদ্বেষ প্রকাশ এই মন্তব্যকে মৃদু বা গৌণ মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য করে তোলে।",rule-contextual,False,pending,
9928,এইসব পুরনো নিউজ তোদের দ্বারাই সম্ভব কারণ তোরাতো সরকারের দালালী করতেই দিন শেষ সব টিভি চ্যানেল এই নিউজ ও ভিডিও দেখানো শেষ করেছে আর এখন নিয়ে আসছিস তোরা এমন পা চাটা দালালী বাদ দিয়ে দেশের মানুষের মতামত কে অগ্রধিকার দে,Political Hate,,Mild,"বিরুদ্ধে ""সরকার"", ""দালাল"" এর মতো রাজনৈতিক বিদ্বেষমূলক শব্দ ব্যবহার করা হয়েছে। এটি মাঝারি মাত্রার রাজনৈতিক ঘৃণা প্রকাশ করে।",rule-contextual,False,pending,
23470,বাংলাদেশের রাজনীতি একটি মুরখো রাজনীতি,Political Hate,Society,Severe,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে তীব্র ও গুরুতর মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual,False,pending,
14307,এমন ঘটনা বিশ্বের কোন দেশে ঘটেনা শুধুমাত্র বাংলাদেশে ঘটে এটা লজ্জাজনক,Abusive,Society,Mild,"এই মন্তব্যে ""লজ্জা"" শব্দ ব্যবহার করে সমাজ বা জাতিকে অবমাননা করা হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক ভাষা নির্দেশ করে।",rule-contextual,False,pending,
20359,আমেরিকা আগুন লাগায় অন্যের ঘরে আর তার বিচার করে মহান আল্লাহ,,,Little to None,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based,False,pending,
32521,যুক্তরাষ্ট্র এবং ইসরায়েল সন্রাসী রাষ্ট্র,Abusive,Organization,Severe,এই বক্তব্যে ব্যবহৃত ভাষা ও দৃষ্টিভঙ্গি একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে তীব্র ও গুরুতর মাত্রার গালিগালাজমূলক মন্তব্য প্রকাশ করে।,rule-contextual,False,pending,
6665,চিনের ভারতকে দরকার ভারতের চিনকে দরকার নেই জয় কৃষ্ণ,,,Little to None,এই বাক্যে কোনো ঘৃণামূলক শব্দ বা আক্রমণাত্মক প্রকাশ নেই এবং এটি সাধারণ মতামত প্রকাশ করে।,rule-based,False,pending,
13128,আপনার প্রস্তাব কে সম্মানের সহিত একমত,,,Little to None,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based,False,pending,
26935,শুনতে খারাপ হলেও বলতেই হচ্ছে ছাগল দিয়ে হাল চাষ হলেমানুষ গুরু কিন্তুনা আচ্ছা মুশফিক বা ফেলতে পারিনি বুঝলামতো আপনি কয়টা লোম ফেলেছেন,Abusive,Individual,Mild,"মন্তব্যটিতে ""খারাপ"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে নির্দিষ্ট ব্যক্তিকে লক্ষ্য করা হয়েছে। এটি মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual,False,pending,
2290,এতো উন্নয়ন বাজারে গেলে হিমসিম খেতে হয়,Abusive,Society,Little to None,মন্তব্যটির সামগ্রিক সুর ও ভাষা সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে মৃদু বা গৌণ মাত্রার আক্রমণাত্মক বক্তব্য নির্দেশ করে।,rule-contextual,False,pending,
6205,ফালতু ও মুখরোচক সংবাদ প্রচার বন্ধ রাখাই ভাল,Abusive,Organization,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
28997,সরকার প্রবাসিদের সাপোর্ট করে না,Political Hate,Organization,Mild,"রাজনৈতিক প্রেক্ষাপটে ""সরকার"" ব্যবহার করে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে প্রতি বিদ্বেষ প্রকাশ এই মন্তব্যকে মাঝারি মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য করে তোলে।",rule-contextual,False,pending,
13970,১ করে পেলান্টি,,,Little to None,এটি একটি নিরপেক্ষ মন্তব্য যেখানে কাউকে লক্ষ্য করে কোনো অবমাননাকর বা বৈষম্যমূলক ভাষা ব্যবহার করা হয়নি।,rule-based,False,pending,
7883,সেজন্যই বলি ইজরাইলের সমর্থন ছেড়ে দাও এখন তো পড়ে গিয়ে উঠে যায় একদিন এমনি পড়বে যার উঠতেই পারবে না এখন তো আমেরিকায় শয়তানের পূজা করাও সমর্থন করে দিয়েছে,Abusive,Community,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
9288,অগ্রগতি হোক রাশিয়া চীন ইরান কোরিয়া তুরস্ক ধ্বংস হোক আমেরিকা ন্যাটো ইসরায়েল ইউক্রেন,Political Hate,Society,Mild,"রাজনৈতিক প্রেক্ষাপটে ""ধ্বংস"" ব্যবহার করে সমাজ বা জাতিকে প্রতি বিদ্বেষ প্রকাশ এই মন্তব্যকে মাঝারি মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য করে তোলে।",rule-contextual,False,pending,
